 Tiempo(s),Angulo(rad),Velocidad(rad/s),Aceleracion(rad/s^2)
0,0,0,0
0.01,0,0,0
0.02,0,0,0
0.03,0,0,0
0.04,0,0,0
0.05,0,0,0
0.06,0,0,0
0.07,0,0,0
0.08,0,0,0
0.09,0,0,0
0.1,0,0,0
0.11,0,0,0
0.12,0,0,0
0.13,0,0,0.134670466975
0.14,0,0,0.942693268824
0.15,0,0,4.57879587715
0.16,0,0.048481368111,11.8510010938
0.17,0,0.193925472444,20.3352405132
0.18,0,0.630257785442,12.2550124947
0.19,0.0174532925199,0.630257785442,-12.3896829617
0.2,0.0174532925199,0.193925472444,-21.277933782
0.21,0.0174532925199,0.048481368111,-16.4297969709
0.22,0.0174532925199,-0.048481368111,-16.4297969709
0.23,0.0174532925199,-0.193925472444,-21.277933782
0.24,0.0174532925199,-0.630257785442,-12.3896829617
0.25,0,-0.630257785442,12.2550124947
0.26,0,-0.193925472444,20.3352405132
0.27,0,-0.048481368111,11.8510010938
0.28,0,0,4.57879587715
0.29,0,0,0.942693268824
0.3,0,0,0.134670466975
0.31,0,0,0
0.32,0,0,0
0.33,0,0,0
0.34,0,0,-0.134670466975
0.35,0,0,-0.942693268824
0.36,0,0,-4.57879587715
0.37,0,-0.048481368111,-11.9856715608
0.38,0,-0.193925472444,-21.412604249
0.39,0,-0.630257785442,-17.9111721077
0.4,-0.0174532925199,-0.678739153553,-5.25214821202
0.41,-0.0174532925199,-0.436332312999,-17.5071607067
0.42,-0.0174532925199,-0.921145994108,-38.2464126209
0.43,-0.0349065850399,-1.50292241144,-33.3982758098
0.44,-0.0523598775598,-1.69684788388,-17.5071607067
0.45,-0.0698131700798,-1.74532925199,-10.2349554901
0.46,-0.0872664625997,-1.79381062011,-14.0057285654
0.47,-0.10471975512,-1.93925472444,-25.9914001262
0.48,-0.12217304764,-2.42406840555,-28.8194799326
0.49,-0.157079632679,-2.61799387799,-21.1432633151
0.5,-0.174532925199,-2.76343798232,-18.8538653765
0.51,-0.209439510239,-3.1028075591,-10.2349554901
0.52,-0.244346095279,-2.86040071855,-12.6590238956
0.53,-0.261799387799,-3.05432619099,-38.2464126209
0.54,-0.296705972839,-3.92699081699,-38.2464126209
0.55,-0.349065850399,-4.12091628943,-12.6590238956
0.56,-0.383972435439,-3.87850944888,-10.2349554901
0.57,-0.418879020479,-4.21787902565,-18.8538653765
0.58,-0.471238898038,-4.36332312999,-21.1432633151
